"Job ID","Description","State","Start Time","Elapsed Time","User"
"train_aks-88223c49d9964bbaa58981c36cfd1cea","compress-1","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-88223c49d9964bbaa58981c36cfd1cea","RB-FEA","Solve","Success","4 m, 53 s"," huandinh2022"
"train_aks-88223c49d9964bbaa58981c36cfd1cea","compress-2","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-c2e5288bbe684da69b88d1ddb310193b","compress-1","Success","6/14/2022","0 s"," huandinh2022"
"train_aks-c2e5288bbe684da69b88d1ddb310193b","RB-FEA","Solve","Success","3 m, 18 s"," huandinh2022"
"train_aks-ffefd93babd8440ba2c3720bdd4e381e","compress-1","Success","6/14/2022","0 s"," huandinh2022"
"train_aks-ffefd93babd8440ba2c3720bdd4e381e","RB-FEA","Solve","Success","3 m, 18 s"," huandinh2022"
"train_aks-52272f9071f64bca80e395a4fb3131f6","compress-1","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-52272f9071f64bca80e395a4fb3131f6","RB-FEA","Solve","Success","30 m, 36 s"," huandinh2022"
"train_aks-ec9e316cdd254dd98d8c23c73bbdaa9a","compress-1","Success","6/14/2022","0 s"," huandinh2022"
"train_aks-ec9e316cdd254dd98d8c23c73bbdaa9a","RB-FEA","Solve","Success","5 m, 28 s"," huandinh2022"
"train_aks-ec9e316cdd254dd98d8c23c73bbdaa9a","compress-2","Success","6/14/2022","1 s"," huandinh2022"
"train_aks-20a42e29ac2549b9857a6a00ee38a1c9","compress-1","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-20a42e29ac2549b9857a6a00ee38a1c9","RB-FEA","Solve","Success","36 m, 33 s"," huandinh2022"
"train_aks-20a42e29ac2549b9857a6a00ee38a1c9","compress-2","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-20a42e29ac2549b9857a6a00ee38a1c9","train-3","Success","6/14/2022","1 m, 16 s"," huandinh2022"
"train_aks-77f6d51e2ce14917aa5812cf4b9746fb","compress-1","Success","6/14/2022","1 s"," huandinh2022"
"train_aks-77f6d51e2ce14917aa5812cf4b9746fb","RB-FEA","Solve","Success","37 m, 32 s"," huandinh2022"
"train_aks-77f6d51e2ce14917aa5812cf4b9746fb","compress-2","Success","6/14/2022","0 s"," huandinh2022"
"train_aks-77f6d51e2ce14917aa5812cf4b9746fb","train-3","Success","6/14/2022","2 h, 43 m, 13 s"," huandinh2022"
"train_aks-dfced39d7ca94cfb92fd67dc310f6c92","compress-1","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-dfced39d7ca94cfb92fd67dc310f6c92","RB-FEA","Solve","Success","47 m, 17 s"," huandinh2022"
"train_aks-29ff647ad5c44718bda9433883e7c1a6","Hybrid","Solve","","27356 Components"," Failure 6/14/2022, 11:36:09 AM "
"train_aks-29ff647ad5c44718bda9433883e7c1a6","compress-1","Success","6/14/2022","30 s"," huandinh2022"
"train_aks-80776ed7770849309602026b4e97c8b3","compress-1","Success","6/14/2022","31 s"," Not found"
"train_aks-ef939f823f6c42c6b2b3fedbd1fcead5","compress-1","Success","6/14/2022","31 s"," Not found"
"train_aks-51e28b66774c4c0fb39b6aabcfd5671e","compress-1","Success","6/14/2022","31 s"," Not found"
"train_aks-ea8fa6671d54448495255293835f95e2","Hybrid","Solve","","27352 Components"," Failure 5/24/2022, 5:30:41 PM 2 / 2 "
"train_aks-ea8fa6671d54448495255293835f95e2","compress-1","Success","5/24/2022","4 s"," huandinh2022"
"train_aks-ea8fa6671d54448495255293835f95e2","compress-2","Success","5/25/2022","8 s"," huandinh2022"
"train_aks-ea8fa6671d54448495255293835f95e2","train-3","Success","5/25/2022","4 h, 10 m, 14 s"," huandinh2022"
"train_aks-5a1c9cec137a465285c4843876294b18","compress-1","Success","5/24/2022","1 s"," huandinh2022"
"train_aks-f0b136c6599e49cf88b21ccc74dd6445","compress-1","Success","5/16/2022","2 s"," huandinh2022"
"train_aks-f0b136c6599e49cf88b21ccc74dd6445","Hybrid","Solve","","27356 Components"," Success 5/16/2022, 9:56:33 AM "
"train_aks-776fbb8609ea45eab1b631c78a5091e3","RB-FEA","Solve","Failure","1 h, 29 m, 10 s"," huandinh2022"
"train_aks-776fbb8609ea45eab1b631c78a5091e3","compress-1","Success","5/12/2022","2 s"," huandinh2022"
